Epoch : 161, Mean Accuracy(U) = 0.2162642221602183, Mean Accuracy(V) = 0.18384301148844956, Loss : 7.711509111192491
Epoch : 162, Mean Accuracy(U) = 0.21716148047760772, Mean Accuracy(V) = 0.18553309018920067, Loss : 7.714140113194784
Epoch : 163, Mean Accuracy(U) = 0.21553575857426305, Mean Accuracy(V) = 0.18544985539788827, Loss : 7.710937245686849
Epoch : 164, Mean Accuracy(U) = 0.22010863427402208, Mean Accuracy(V) = 0.1857382015306122, Loss : 7.726672336790297
Epoch : 165, Mean Accuracy(U) = 0.218334988617843, Mean Accuracy(V) = 0.18579990101509353, Loss : 7.707604625489977
Epoch : 166, Mean Accuracy(U) = 0.21757427743232713, Mean Accuracy(V) = 0.18384220875850343, Loss : 7.7198618729909265
Epoch : 167, Mean Accuracy(U) = 0.21996599746669498, Mean Accuracy(V) = 0.18549417162698417, Loss : 7.702415084838867
Epoch : 168, Mean Accuracy(U) = 0.21738690919075968, Mean Accuracy(V) = 0.18546314196251415, Loss : 7.721542734569973
Epoch : 169, Mean Accuracy(U) = 0.2167380265908446, Mean Accuracy(V) = 0.18506443430236683, Loss : 7.710305913289388
Epoch : 170, Mean Accuracy(U) = 0.2170312721442744, Mean Accuracy(V) = 0.18516726677650225, Loss : 7.716270928912692
Epoch : 171, Mean Accuracy(U) = 0.21809320082199543, Mean Accuracy(V) = 0.18589647773171775, Loss : 7.7147954252031115
Epoch : 172, Mean Accuracy(U) = 0.2196854848710317, Mean Accuracy(V) = 0.18560492067920922, Loss : 7.720434125264486
Epoch : 173, Mean Accuracy(U) = 0.21770332319125574, Mean Accuracy(V) = 0.18454229999291383, Loss : 7.707017464107937
Epoch : 174, Mean Accuracy(U) = 0.2175508045014881, Mean Accuracy(V) = 0.18454019628684806, Loss : 7.7106970257229275
Epoch : 175, Mean Accuracy(U) = 0.2167233006483844, Mean Accuracy(V) = 0.1827122141174178, Loss : 7.713616010877821
Epoch : 176, Mean Accuracy(U) = 0.21651024504854033, Mean Accuracy(V) = 0.18619008312960597, Loss : 7.706377622816298
Epoch : 177, Mean Accuracy(U) = 0.21732263543438204, Mean Accuracy(V) = 0.18669043300914112, Loss : 7.709671296013726
Epoch : 178, Mean Accuracy(U) = 0.2156209309895834, Mean Accuracy(V) = 0.18608492550666106, Loss : 7.717853275934855
